nummer	path	filter	prompt	titel	autor	projektuebersicht
00  htpps://  Szenen  Prompt eingeben  Titel der Arbeit  Paul und Jannis  rothe
01  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/01_Charaktere_Paul_Rothe_013.jpg?raw=true  Charaktere  https://s.mj.run/2dSI4r8FHEQ male Egyptian military leader fighting against an army on stage wearing a space suit from a space odyssey, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, full fram --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2 --iw 0  survival of the fittest  Paul und Jannis  rothe
02  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/02_Charaktere_Paul_Rothe_013.jpg?raw=true  Charaktere  https://s.mj.run/VqxMuQOY0WY male Egyptian military leader fighting against an army on stage wearing a space suit from a space odyssey, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, full fram --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2 --iw 0  survival of the fittest  Paul und Jannis  rothe
03  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/03_Charaktere_Paul_Rothe_031.jpg?raw=true  Charaktere  orchestra from the opra aida in a space suit playing instruments, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2  Orchester  Paul und Jannis  rothe
04  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/04_Charaktere_Paul_Rothe_031.jpg?raw=true  Charaktere  orchestra from the opra aida in a space suit playing instruments, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2  Orchester  Paul und Jannis  rothe
05  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/05_Charaktere_Paul_Rothe_031.jpg?raw=true  Charaktere  orchestra from the opra aida in a space suit playing instruments, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2  Orchester  Paul und Jannis  rothe
06  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/06_Charaktere_Paul_Rothe_031.jpg?raw=true  Charaktere  orchestra from the opra aida in a space suit playing instruments, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2  Orchester  Paul und Jannis  rothe
07  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/07_Charaktere_Paul_Rothe_035.jpg?raw=true  Charaktere  https://s.mj.run/dZJHGYiVi5E hall 9000 as a egyption leader singing on stage with wearing a space suit from a space odyssey, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2 --iw 0  Zentrifuge  Paul und Jannis  rothe
08  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/08_Charaktere_Paul_Rothe_035.jpg?raw=true  Charaktere  https://s.mj.run/dZJHGYiVi5E hall 9000 as a egyption leader singing on stage with wearing a space suit from a space odyssey, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2 --iw 0  Zentrifuge  Paul und Jannis  rothe
09  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/09_Charaktere_Paul_Rothe_051.jpg?raw=true  Charaktere  aida from the opera aida in a space suit singing and dancing on stage, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2  Rise of Aida  Paul und Jannis  rothe
10  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/10_Charaktere_Paul_Rothe_051.jpg?raw=true  Charaktere  orchestra from the opra aida in a space suit playing instruments, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2  Dirigent  Paul und Jannis  rothe
11  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/11_Charaktere_Paul_Rothe_051.jpg?raw=true  Charaktere  aida from the opera aida in a space suit singing and dancing on stage, costume design Iris van Herpen mixed with digital screens and inspired by the movie 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --ar 16:9 --v 5.2  Aida  Paul und Jannis  rothe
12  https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/12_Charaktere_Paul_Rothe_051.jpeg?raw=true  Charaktere  the king of egypt singing on stage in the opera aida inspired by space suits from 2001: a space odyssey, costume design Iris van Herpen mixed with digital screens displaying aritficial intellintelige images of Radamès, inspired from a 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --v 5.2 --ar 16:9  statisterie  Paul und Jannis  rothe

