name	path	filter	prompt	titel	autor	projektuebersicht	
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/002/01_Szene_Zirk_Luisa_002_01.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame dark black, mysterious arcade hall without colors	Arcade1	Luisa Zirk	zirk							
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szene_Zirk_Luisa_027_02.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame	Arcade2	Luisa Zirk	zirk							
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/035/01_Szene_Zirk_Luisa_035_03.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame	Arcade3	Luisa Zirk	zirk							
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/039/01_Szene_Zirk_Luisa_039_04.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame	Arcade4	Luisa Zirk	zirk							
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/041/01_Szene_Zirk_Luisa_041_05.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame	Arcade5	Luisa Zirk	zirk							
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/050/01_Szene_Zirk_Luisa_050_06.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame	Arcade6	Luisa Zirk	zirk							
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/051/01_Szene_Zirk_Luisa_051_07.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame	Arcade7	Luisa Zirk	zirk							
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/052/01_Szene_Zirk_Luisa_052_08.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame	Arcade8	Luisa Zirk	zirk							
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/054/01_Szene_Zirk_Luisa_054_09.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame perspektive	Arcade9	Luisa Zirk	zirk							
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/057/01_Szene_Zirk_Luisa_057_10.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame door	Arcade10	Luisa Zirk	zirk							
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/071/01_Szene_Zirk_Luisa_071_11.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame	Arcade11	Luisa Zirk	zirk							
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/072/01_Szene_Zirk_Luisa_072_12.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame door	Arcade12	Luisa Zirk	zirk							
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/086/01_Szene_Zirk_Luisa_086_13.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame cockpit	Arcade13	Luisa Zirk  zirk							
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/091/01_Szene_Zirk_Luisa_091_14.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame astronaut	Arcade14	Luisa Zirk  zirk							
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/093/01_Szene_Zirk_Luisa_093_15.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame	Arcade15	Luisa Zirk	zirk							
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/101/01_Szene_Zirk_Luisa_101_16.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame  Arcade16  Luisa Zirk  zirk							
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/112/01_Szene_Zirk_Luisa_112_17.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame floor	Arcade17	Luisa Zirk	zirk							
18	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/112/01_Szene_Zirk_Luisa_112_18.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame  Arcade18  Luisa Zirk  zirk							
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/114/01_Szene_Zirk_Luisa_114_19.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame astronaut  Arcade19  Luisa Zirk  zirk							
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/115/01_Szene_Zirk_Luisa_115_20.jpg	Szene	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame spaceship	Arcade20	Luisa Zirk	zirk							
21	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/116/01_Szene_Zirk_Luisa_116_21.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame floor	Arcade21	Luisa Zirk	zirk							
22	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/119/01_Szene_Zirk_Luisa_119_22.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame astronaut	Arcade22	Luisa Zirk	zirk							
23	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/145/01_Szene_Zirk_Luisa_145_23.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame dark black, mysterious arcade hall without colors	Arcade23	Luisa Zirk	zirk							
