name	path	filter	prompt	titel	autor	projektuebersicht						
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/00_Objekte_Badt_Hendrik_027.jpg	Objekte	Envision the sleek design of the Djinn chair transformed into an intricate fusion with the graceful, glowing forms of jellyfish. Picture bioluminescent patterns interwoven into the chair's structure, casting an otherworldly glow. 	Chair	Hendrik Badt badt							
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Knauer_Sarah_Djinn_Chair_01.jpg	Szenen	djinn chair from the movie 2001 a space odyssey, in a spaceship interior, floating in dark space, made of rattan, 8k high resolution photography	Djinn-Stuhl	Sarah Knauer	knauer						
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/24cb1eb6567d228de45eb66904304d3bb036c731/Timecodes/027/027_Objekte_N%C3%B5ulik_Romy_02.jpg	Objekte	prompt eingeben	Titel der Arbeit	Nõulik Romy	noulik						
05	\Datenbank\Videos\03_Adaption_Giessmann_Alina_Raumstation.mp4	Adaption	red chair, spaceship, Organic forms, honeycomb structure, Curved lines, white wall, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms, Biomimicry,  out of Space, dynamic lighting, ultra high definition, reflections, sharp focus, intense shadows, detailed and intricate environment, intricate	Raumstation	Alina Giessmann	giessmann											
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Knauer_Sarah_Djinn_Chair_01_01.jpg	Szenen	djinn chair from the movie 2001 a space odyssey, made out of rough rattan, in a spaceship in dark space, 8k high resolution photography	Djinn Chair	Sarah Knauer	knauer						
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Knauer_Sarah_Djinn_Chair_01_02.jpg	Szenen	djinn chair from the movie 2001 a space odyssey, made out of rough rattan, in a spaceship in dark space, 8k high resolution photography	Djinn Chair	Sarah Knauer	knauer						
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/00_Objekte_Reimers_Glaeserner_Stuhl.jpg	Objekte	A digital rendering of a sculptural colorful glass chair set in a futuristic space. intricate glasswork, delicate and intricate design. Broken Glass effect, futuristic, stunning, something that even doesn't exist, energy, molecular, textures, iridescent and luminescent scales, breathtaking beauty, pure perfection, unforgettable, impressive, breathtaking beauty, Volumetric light, auras, rays, vivid colors reflects	Gläserner_Stuhl_1	Merle Reimers	reimers												
10	\Datenbank\Videos\00_Objekte_Reimers_Gläserne_Stühle2und3.mp4	Objekte	The chair is made of a transparent material that allows light to pass through. decorated with colorful stained glass depicting abstract shapes and patterns. The stained glass is reminiscent of the windows of a church.	Gläserne_Stühle_2_und_3 (mp4)	Merle Reimers	reimers												
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Reimers_Glaeserner_Aufenthaltsraum1.jpg	Szenen	A large conference room in a futuristic building. The walls, ceiling and floor are made of a transparent material that allows light to pass through. The walls are decorated with colorful stained glass depicting abstract shapes and patterns. The stained glass is reminiscent of the windows of a church and bathes the room in a mystical light.	Gläserner_Aufenthaltsraum_1	Merle Reimers	reimers					
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Reimers_Glaeserner_Aufenthaltsraum2.jpg	Szenen	broken glass effect, stunning, mythical, beautiful, a spaceship that looks like a organic, modern church, beautiful, colorful glass	Gläserner_Aufenthaltsraum_2	Merle Reimers	reimers												
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Reimers_Glaeserner_Aufenthaltsraum3.jpg	Szenen	A large conference room in a futuristic building. The walls, ceiling and floor are made of a transparent material that allows light to pass through. The walls are decorated with colorful stained glass depicting abstract shapes and patterns. The stained glass is reminiscent of the windows of a church and bathes the room in a mystical light.	Gläserner_Aufenthaltsraum_3	Merle Reimers	reimers					
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Reimers_Glaeserner_Aufenthaltsraum4.jpg	Szenen	broken glass effect, stunning, mythical, beautiful, a spaceship interior that looks like a organic, modern church, looks like a conversation pit, beautiful, colorful glass, colorful	Gläserner_Aufenthaltsraum_4	Merle Reimers	reimers												
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szenen_Knauer_Sarah_Innenraum_06_03.jpg	Szenen	spaceship interior made out of rough rattan, with furniture made out of rough rattan, spaceship floating in dark space, 8k high resolution photography	Raumschiff-Innenraum	Sarah Knauer	knauer						
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/12_Szenen_Jakob_Vasilega_Sarah_Dariia_027.png	Szene	a photorealistic set design for Kubrick´s Space Odyssey 2001 movie but designed in Soviet constructivism style, a recreation hall with chairs and coffe-tables in constructivist style, retro photo, 1960s, USSR, propaganda, Minimalistic, Industrial, Utilitarian, modular, Monolithic, Stern, Foreboding, Dystopian, futuristic, Utilitarian, photorealistic, hyperrealism, modernism, Space odyssey	Halle	Sarah Jakob Dariia Vasilega	soviet						
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/15_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me this image in the style of the created spaceship; Image to Image	Lamella_Lounge-Area01	Lisa Eickelpasch	eickelpasch												
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Eickelpasch_Lisa/26_Szenen_Eickelpasch_Lamella.jpg	Szenen	show me the inside of the created spaceship	Lamella_Lounge-Area02	Lisa Eickelpasch	eickelpasch												
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/00_Objekt_Ludwig_Sarah_027.jpg	Objekte	a fluid organic bionic chair designed by Ross Lovegrove with biomorphic features, very detailed biomimetic structure, placed in a spaceship room designed by Marcel Breuer in Bauhaus style, Dynamic Composition, gloomy atmosphere, foggy, misty, artificial light, experimental cinematography, photorealistic, wide angle shot	Djinn Chair	Sarah Ludwig	ludwig
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/03_Adaptionen_Schmidt_Djinn_Chairs_027.jpg	Adaption  Long, rectangular lounge room in a steampunk-style space-ship, filled with Victorian-era furniture, Djinn Chair from 2001: a space odyssey, copper and brass pipes for chair frames, quilted, olive green cushions, three windows with a view into the dark universe.	Djinn Chair Aufenthaltsraum	Lena Schmidt	schmidt
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Adaption_Niemann_Victoria_027.jpg	Adaption	Incorporate Bauhaus principles into a set design for the spacecraft interior in '2001: A Space Odyssey.' Explore the use of geometric, abstract forms and a harmonious color palette.	waiting room	Victoria Niemann	niemann
15	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/02_Adaption_Niemann_Victoria_027.jpg	Adaption	Incorporate Bauhaus principles into a set design for the spacecraft interior in '2001: A Space Odyssey.' Explore the use of geometric, abstract forms and a harmonious color palette.	waiting room	Victoria Niemann	niemann
16	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/03_Adaption_Niemann_Victoria_027.jpg	Adaption	Incorporate Bauhaus principles into a set design for the spacecraft interior in '2001: A Space Odyssey.' Explore the use of steel, glass, and a harmonious color palette. Focus on abstract, geometric forms.  waiting room  Victoria Niemann  niemann
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/04_Adaption_Niemann_Victoria_027.jpg	Adaption	Incorporate Bauhaus principles into a set design for the spacecraft interior in '2001: A Space Odyssey.' Explore the use of geometric, abstract forms and a harmonious color palette.	waiting room	Victoria Niemann	niemann
18	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/03_Adaptionen_Guth_Antonia_027.jpg	Adaptionen	SStanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy, weird interior	Stop Motion	Antonia Guth	guth
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Rein_Jessica/00_Objekte_Rein_Jessica_027.jpg	Objekte	Design the Dschinn chair in the style of "Alice in Wonderland" (2010) directed by Tim Burton	Red Dschinn Chair	Jessica Rein	rein
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/01_Szene_Zirk_Luisa_027_02.jpg	Szenen	stanley kubrick style "2001: A Space Odyssey" as a pixelated videogame	Arcade2	Luisa Zirk	zirk
28	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/027/02_Charaktere_Guth_Antonia_027.jpg	Charaktere	Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, hairy, weird interior	Stop Motion	Antonia Guth	guth
