nummer	path	filter	prompt	titel	autor	projektuebersicht												
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wojciechowski_Daniel/00_Objekte_Wojciechowski_SleepingCapsule-2_060.jpg	Objekte	analog style, "Reimagine the cinematic landscape of '2001: A Space Odyssey' in a surreal and detailed desert setting. Transform the iconic scenes, introducing weird and unconventional elements while preserving the vastness of the desert. The scene should be captured through the lens of a Hasselblad camera to evoke a timeless and nuanced aesthetic. Introduce peculiar rock formations and hills that defy the laws of gravity, creating an otherworldly and dreamlike atmosphere. Encourage the AI to experiment with unique lighting conditions, casting unusual shadows across the desert landscape. The goal is to generate a reimagination of '2001: A Space Odyssey' that is both visually striking and conceptually rich, introducing weird yet captivating details within the vastness of the desert, all captured through the lens of a Hasselblad camera."	SleepingCapsule-2	Daniel Wojciechowski	wojciechowski						
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_076_060.jpg	Adaptionen	close up of futuristic cutlery on a tray in a space station with bright lighting and strong colours. Dystopian, scrambled background in pink and yellow	Astronauten-Dinner 1/9	Swaantje Meyer	meyer  									
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_077_060.jpg	Adaptionen	close up of futuristic cutlery on a tray in a space station with bright lighting and strong colours. Dystopian, scrambled background in pink and yellow	Astronauten-Dinner 2/9	Swaantje Meyer	meyer									
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_078_060.jpg	Adaptionen	close up of futuristic cutlery on a tray in a space station with bright lighting and strong colours. Dystopian, scrambled background in pink and yellow	Astronauten-Dinner 3/9	Swaantje Meyer	meyer									
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_079_060.jpg	Adaptionen	close up of futuristic cutlery on a tray in a space station with bright lighting and strong colours. Dystopian, scrambled background in pink and yellow	Astronauten-Dinner 4/9	Swaantje Meyer	meyer									
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_080_060.jpg	Adaptionen	close up of futuristic cutlery on a tray in a space station with bright lighting and strong colours. Dystopian, scrambled background in pink and yellow	Astronauten-Dinner 5/9	Swaantje Meyer	meyer									
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Blumstein_Alina/01_Szenen_Blumstein_Alina_060.jpg	Szenen	everything melts heavily, abstract, art	Abstract Dinner	Alina Blumstein	blumstein							
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Haarmann_R_Faesel_L/00_Objekt_Haarmann_R_Faesel_L_060.jpg	Objekt	futuristic utensils from the movie 2001: Space Odyssey, symmetrical, in a claymation style, aardman animation, Wallis and Gromit	foodtray spacey	Rose Haarmann, Lara Faesel	haarmann							
00	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/060/00_Gisevius_Sara_Food_Tray.jpg	Objekte	seethrough plate out of glas with a air inflated dome out of latex all around it	Food Tray	Sara Gisevius gisevius
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Grineva_Jana/00_Objekt_Grineva_Jana_060_00.jpg	Objekte	film "2001: Space Odyssey", Stanley Kubrick'a atmosphere. Under water. minimalistic, aesthetic. food tray in a space station	Foodtray	Jana Grineva	grineva
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Grineva_Jana/00_Objekt_Grineva_Jana_060_01.jpg	Objekte	film "2001: Space Odyssey", Stanley Kubrick'a atmosphere. Under water. minimalistic, aesthetic. food tray in a space station	Foodtray	Jana Grineva	grineva
