name	path	filter	prompt	titel	autor	projektuebersicht							
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/24cb1eb6567d228de45eb66904304d3bb036c731/Timecodes/064/064_Objekte_N%C3%B5ulik_Romy.jpg	Objekte	Worn out space goggles with a brutalistic and dystopian design, drawing inspiration from the style of &apos;Alien: Covenant.&apos; Design the goggles with sharp, angular lines and harsh, industrial aesthetics, giving them a foreboding and oppressive appearance. Add bold red details to the glasses, creating a stark contrast with the brutalist design. Place the glasses in an abandoned field of realistic sand and rocks, with the sky glowing red to enhance the dystopian feel. Add red details into the sand and show the red sky. Illuminate the scene with an intense light, casting harsh shaddows. 	Titel der Arbeit	Nõulik Romy	noulik							
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wutschke_Julia/01_Szenen_Wutschke_Touch_64.jpg	Szenen	imagine a "2001: A Space odyssey" Spaceship interior design. Illustrate the intricate network of red electric impulses as they flow through the ground upon touch, displaying health information. Emphasize the harmonious relationship between human touch and technological response. / Negative: ugly, deformed, noisy, blurry, distorted, out of focus, bad anatomy, extra limbs, poorly drawn face, poorly drawn hands, missing fingers, jacket, yellow, pink purple, tablet, heart, ipad, smartphone, iphone	sky lounge 02	Julia Wutschke	wutschke							
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Thuernau_Laura/00_Objekte_Thuernau-_Laura_Schutzbrille_064.png	Objekte	hovering building components of a futuristic frameless safety goggles transparent orange tinted, blurred laboratory background, expire shattered fragments from the googles, deconstruct the goggles and arrange it in a false order, shattered finished surface, sharp focus, intricate details, highly detailed, swirls of gloomy galactic lights and dust particles in the dark background, dangerous touch, slightly devastated and lost scenery set up, product photography	Schutzbrille	Laura Thürnau	thuernau							
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/064/03_Adaptionen_Schmidt_Liege_064.jpg	Adaption	Long, rectangular lounge room in a steampunk-style space-ship, filled with Victorian-era furniture, Djinn Chair from 2001: a space odyssey, copper and brass pipes for chair frames, quilted, olive green cushions, three windows with a view into the dark universe.	Liege im Raumschiff der Jupiter Mission	Lena Schmidt	schmidt							
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wojciechowski_Daniel/01_Szenen_wojciechowski_VastDesert-2_064.jpg	Szenen	analog style, "Reimagine the cinematic landscape of '2001: A Space Odyssey' in a surreal and detailed desert setting. Transform the iconic scenes, introducing weird and unconventional elements while preserving the vastness of the desert. The scene should be captured through the lens of a Hasselblad camera to evoke a timeless and nuanced aesthetic. Introduce peculiar rock formations and hills that defy the laws of gravity, creating an otherworldly and dreamlike atmosphere. Encourage the AI to experiment with unique lighting conditions, casting unusual shadows across the desert landscape. The goal is to generate a reimagination of '2001: A Space Odyssey' that is both visually striking and conceptually rich, introducing weird yet captivating details within the vastness of the desert, all captured through the lens of a Hasselblad camera."	VastDesert-2	Daniel Wojciechowski	wojciechowski							
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_096_064.jpg	Adaptionen	an astronaut is lying on a garden lounger. The astronaut has rested his head in the helmet on one hand. He is lonely. He is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere	Einschlafen 1/4	Swaantje Meyer	meyer							
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_097_064.jpg	Adaptionen	an astronaut is lying on a garden lounger. The astronaut has rested his head in the helmet on one hand. He is lonely. He is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere	Einschlafen 2/4	Swaantje Meyer	meyer							
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_098_064.jpg	Adaptionen	an astronaut is sleeping on a garden lounger. The astronaut has rested his head in the helmet on one hand. He is lonely. He is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere	Einschlafen 3/4	Swaantje Meyer	meyer							
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_099_064.jpg	Adaptionen	an astronaut is sleeping on a garden lounger. The astronaut has rested his head in the helmet on one hand. He is lonely. He is out in the open. The background landscape is that of a deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere	Einschlafen 4/4	Swaantje Meyer	meyer							
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Blumstein_Alina/01_Szenen_Blumstein_Alina_064.jpg	Szenen	Everything melts heavily, abstract, art	Abstract	Relaxing	Alina Blumstein	blumstein						
