name	path	filter	prompt	titel	autor	projektuebersicht			
47	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/130/47_Szenen_Jakob_Vasilega_Sarah_Dariia_130.png	Szenen	a color reversed pcychodelic landscape of russian tundra, 1960s,  for Stanley Kubrick's Space odyssey film, Constructivist style	Colourful journey		Sarah Jakob Dariia Vasilega	 jakobvasilega
18	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_130_01.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 11	Zina Nasr	nasr
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_130_02.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 12	Zina Nasr	nasr
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_130_03.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 13	Zina Nasr	nasr
21	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_130_04.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for nature, trees, landscapes. Embrace bright, dynamic colors for a playful atmosphere. Create a visual and tactile experience that transports the audience to a world of boundless imagination. For characters, maintain a minimalistic look, keeping facial features simple and expressive.	Landschaft 14	Zina Nasr	nasr
06  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_130.jpg  	Szenen  	painting on the wall of a museum abstract lines and colours that bundle in the middle  	Moderne Kunst  	Hannah Freynhagen  	freynhagen						
08  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Widera_Maxima/03_Adaption_Widera_Maxima_130.jpg  	Adaption  	https://s.mj.run/hx9xTyfXW-8 2001 Space Odyssey abstract landscape, afterlife, in style of Oskar Fischinger, Len Lye, geometric, minimalism, neoplasticism, subtle gradient, soft tonal colors, surreal --ar 16:9 --no symmetry --no circles  	Lost Land  	Maxima Widera  	widera
36  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/130/36_Szenen_Nguyen_130.png  	Szenen  	abstract, space, light tunnel, green hue, centred composition  	Stop-Motion grüne Textilien  	Tuan Nguyen  	nguyen
25  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_130.jpg  	Adaptionen  	futuristic spaceship, science fiction, set design, inspired by stanley kubricks space odyssey 2001, vast barren landscape, surreal vivid colors  	Technische Entwicklung  	Katharina Saathoff  	saathoff				
11  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_013_130.jpg  	Adaptionen  	a deserted, dystopian landscape. foggy night An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. dark purple lilac  	Ein seltsamer Mond 1/13  	Swaantje Meyer  	meyer
12  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_015_130.jpg  	Adaptionen  	a landscape of an deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. dark purple lilac  	Ein seltsamer Mond 3/13  	Swaantje Meyer  	meyer
13  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_018_130.jpg  	Adaptionen  	a landscape of an deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. dark purple lilac  	Ein seltsamer Mond 6/13  	Swaantje Meyer  	meyer
14  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_022_130.jpg  	Adaptionen  	a landscape of an deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. dark purple lilac  	Ein seltsamer Mond 10/13  	Swaantje Meyer  	meyer
15  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Meyer_Swaantje/03_Adaptionen_Meyer_Swaantje_AshesToSpace_025_130.jpg  	Adaptionen  	a landscape of an deserted, dystopian planet that is hostile to life. An eerie and blurry light that seems to have no source is giving everything a surreal atmosphere. dark purple lilac  	Ein seltsamer Mond 13/13  	Swaantje Meyer  	meyer
16  	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Blumstein_Alina/01_Szenen_Blumstein_Alina_130.jpg  	Szenen  	evrything melts heavily, abstract, art  	Abstract Lights 3  	Alina Blumstein  	blumstein
25	\Datenbank\Videos\03_Adaption_Kroeger_Alexandra_130.mp4	Adaption	create an abstract yet spatial representation using only the colors dark blue, silver and red	Ligeti:Atmospheres	Alexandra Kroeger	kroeger
