name	path	filter	prompt	titel	autor	projektuebersicht					
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/138/01_Szenen_Badt_Hendrik_138_00.jpg	Szenen	bioluminiscent organic room with old dying man in bed.	Bedroom	Badt Hendrik	badt					
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/138/01_Szenen_Badt_Hendrik_138_01.jpg	Szenen  Generate an image capturing the poignant scene of an old man lying in bed within a bioluminescent organic room, inspired by the visual style of 'Space Odyssey.' Infuse the space with ethereal bioluminescent elements, resembling the glow of underwater organisms, emanating from the walls and fixtures.	Bedroom	Badt Hendrik	badt						
03	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Giessmann_Alina/03_Adaption_Giessmann_Alina_Renaissance_Room_Monolith2.jpg	Adaption	shadow, white room, no windows, space, lighten up floor, renaissance room, spaceship, honeycomb structure, Biomimicry, warm light, sky, stars, Organic forms, Curved lines, organic architecture, Asymmetry, Natural forms, Whiplash curves, Aesthetic movement, organic rooms,  out of Space, dynamic lighting, ultra high definition, reflections, sharp focus, intense shadows, detailed and intricate environment, intricate	Renaissance	Raum Monolith	Alina Giessmann	giessmann				
29	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_138_01.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for walls, floors, and furniture, layers of play doh on top of each other, bedroom, bed, chairs, spaceship, play doh texture, minimalistic	Schlafzimmer 08	Zina Nasr	nasr					
30	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Nasr_Zina/01_Szene_Nasr_Zina_138_02.png	Szene	Transform the iconic scenes of "2001: A Space Odyssey" into the whimsical, tactile universe of Aardman Studio's claymation style. Use PlayDoh for walls, floors, and furniture, layers of play doh on top of each other, bedroom, bed, chairs, spaceship, play doh texture, minimalistic	Schlafzimmer 09	Zina Nasr	nasr					
05	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ludwig_Sarah/00_Objekt_Ludwig_Sarah_138.jpg	Objekte a wide indoor landscape with abstract biomimetic biomorphic bionic shapes resembling big plants emerging from the ground, a monolith placed in the middle almost grown into the plants, intricate details, mysterious, gloomy, edgy, sculptural, cinematic, photorealistic	Room End scene	Sarah Ludwig	ludwig						
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/138/03_Adaptionen_Guth_Antonia_138.jpg	Adaptionen  Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird figure laying 	Stop Motion	Antonia Guth	guth						
54	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/138/54_Szenen_Jakob_Vasilega_Sarah_Dariia_138.png	Szenen	dim, soviet union, a retro photo of a Kubrick  film scene with an old person in white bathrobe sleeping on a bed in the middle of  a huge Moscow metro grey  hall,  monolith monoton floor, simple soviet iron bed, minimalistic designed in Soviet brutalist style, huge hall,   soviet furniture,   1960s, USSR,  Minimalistic, Industrial, Utilitarian, modular, Monolithic, Stern, Foreboding, Dystopian, geometric, futuristic, Utilitarian, photorealistic, retro photo , Kubrick aesthetic, hyperrealism, modernism , monoton	Sleep 	Sarah Jakob Dariia Vasilega 	jakob			
08	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Wojciechowski_Daniel/00_Objekte_Wojciechowski_Monolith-4_138.jpg	Objekte	analog style, The Monolith from the movie "A Space Odyssey"	Monolith-4	Daniel Wojciechowski wojciechowski						
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Kunert_Frieda/02_Charaktere_Kunert_Frieda_138.jpg	Charaktere	Two figures lean in conspiratorially, their eyes darting nervously. Taut facial muscles convey a sense of urgency, while furrowed brows reveal the weight of their clandestine conversation. A subtle tension lingers in their posture, shoulders slightly hunched, as they exchange guarded glances, acutely aware of the AI's watchful gaze. Both individuals sport discreet attire, attempting to blend into the uniform surroundings, yet their eyes betray a flicker of resistance and determination against the sterile backdrop of their controlled existence. their faces are worn out and their shoulders hang. their eyes are sunken in and their skin looks old and has a grey tint realism close-up of faces	AI-Man	Frieda Kunert	kunert					
