name	path	filter	prompt	titel	autor	projektuebersicht				
01	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/140/01_Szenen_Badt_Hendrik_140_00.jpg	Szenen	bioluminiscent jellyfish morphing	Morphing Jellyfish	Hendrik Badt	badt				
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/140/01_Szenen_Badt_Hendrik_140_01.jpg	Szenen	bioluminiscent jellyfish morphing	Morphing Jellyfish	Hendrik Badt	badt				
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/140/03_Adaptionen_Guth_Antonia_140.jpg	Adaptionen	Stanley Kubrik Style, "2001: A Space Odyssey" as a stop motion film, plasticine, weird newborn	Titel	Antonia Guth	guth				
02	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Freynhagen_Hannah/01_Szenen_Freynhagen_Hannah_140.png	Szenen	a baby looking at an image of the earth on the floor of a modern museum	Baby God	Hannah Freynhagen	freynhagen				
04	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Widera_Maxima/03_Adaption_Widera_Maxima_140.png	Adaption	https://s.mj.run/NtYgVHfcXl8 2001 Space Odyssey embryo opposite of planet, in style of Oskar Fischinger, Len Lye, geometric, minimalism, neoplasticism, subtle gradient, soft cold blue colors, surreal --ar 16:9 --no symmetry --seed 3281792204	Starchild	Maxima Widera	widera				
30	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Saathoff_Katharina/03_Adaptionen_Saathoff_Planet9_140.jpg	Adaptionen	spaceship, science fiction, set design, inspired by stanley Kubricks space odyssey 2001, surreal vivid colors, ominous, vast, barren, inviting landscape	Raumschiff 3	Katharina Saathoff	saathoff				
06	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_140.jpg	Adaptionen	An orb in space looks down on planet Earth; it should look like it was 3D printed;	SpacePrint	Johanna Ries	ries				
07	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Debrah_Eunice/_Debrah%20Eunice%20Abgabe%2028.jpg	Szene	In wakanda army, with people with brown and green walls and plants. africian wakanda window tracerv. and integrated technology, ared-eye Al tathe center oversees all. The room's curvature and roundfurniture enhanceits futuristic feel. A cool light enters through a skylight, revealing a dystopian, lifeless, desert-like planet ni the dark expanse of outer space, evokingStanley Kubrick's style. Realistic with plants and african stil in space, high technology, with Dr. David Bowman from the film '2001: A Space Odyssey.' A Space Odyssey im Wakanda	Stil/Ankuft	Eunice Debrah	debrah				
09      https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Langhanki_Jan/01_Szenen_Langhanki_Jan_140.jpg  A a retro-sci-fi space baby in the style of a detective noir movie, pulp style, gritty, steampunk, huge and round, floating through space, realistic film scene, black and white photography, zoomed out  Space Baby  Jan Langhanki  langhanki										
29	\Datenbank\Videos\03_Adaption_Kroeger_Alexandra_140.mp4	Adaption	create an abstract yet spatial representation using only the colors gold and orange, dark blue and violet	Also sprach Zarathustra	Alexandra Kroeger	kroeger				
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_140_00.jpg	Charaktere	A cyborg fetus, in translucent plastic bubble, plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Fetus-Planet	Lukas Rössler, Benjamin Tamm	roessler
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_140_01.jpg	Charaktere	A cyborg fetus, translucent plastic casing, completely filled with plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Fetus-Planet	Lukas Rössler, Benjamin Tamm	roessler
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/02_Charaktere_Roessler_Tamm_140_03.jpg	Charaktere	A cyborg fetus, in translucent plastic casing, plastic cables resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Fetus-Planet	Lukas Rössler, Benjamin Tamm	roessler
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/140/03_Adaptionen_Schmidt_Wiedergeburt_140.jpg	Adaption	A realistic portrait of a steam-powered, mechanical figure made of copper and brass elements, representing the Rebirth figure from the film “2001: A Space Odyssey” by Stanley Kubrick. The figure is inspired by the mechanical doll from the film “Hugo Cabret” by Martin Scorsese from 2011. In comparison to the film “2001: A Space Odyssey”, the figure is adapted in the steampunk style and consists of elements characteristic of the style, such as copper and brass plates and pipes, gears, valves, belts and additional leather elements. The figure’s face which is clearly visible, consists of a smooth copper and brass plate. The eyes reveal the interior of the machine, with gears and pipes. The body consists if a frame made of copper and brass pipes, through which the interior of the figure can be seen. Inside is the steam-powered machine, in the center of which the red light of the artificial intelligence HAL9000 from the film “2001: A Space Odyssey” by Stanley Kubrick shines. The machine also emits steam. The red light from inside the figure illuminates the image, the background behind the figure is black. The person can be seen with head and upper body, so the perspective is close	Wiedergeburt (Serie 02/02)	Lena Schmidt	schmidt
